fullState,GDP,Spending,Population,Income,State,Bathrooms,Bedrooms,Price,Size,perSqFt,HouseCount,Region,SavingsRate
New Mexico,92696.5,74276.4,2105005,97603.5,NM,2.4606382978723405,3.3659574468085105,315167.86382978724,2096.7191489361703,152.91284781403922,235,West,0.23899860148457797
New York,1420141.0,961707.3,19299981,1440049.5,NY,2.190194420963652,3.555367709213863,394074.02535925613,1970.8639053254437,232.16139843742394,1183,North,0.3321706649667251
North Carolina,499517.5,405953.5,10701022,533269.3,NC,2.843687374749499,3.2615230460921842,478810.31863727455,2235.1482965931864,221.56534170801257,998,South,0.23874578941634186
North Dakota,54581.1,33631.3,770026,47089.3,ND,2.218543046357616,3.5827814569536423,259991.39072847684,2286.609271523179,112.95036127128603,151,MidWest,0.285797410452056
Ohio,589897.7,466159.7,11714618,627231.3,OH,1.8347421808960271,3.345731191885038,134805.93998309382,1744.938292476754,79.73291929460167,1183,MidWest,0.25679777141223664
Oklahoma,190893.8,137469.2,3990443,198552.1,OK,2.5725806451612905,3.412186379928315,354887.773297491,2511.4283154121863,131.90087742290555,1116,South,0.3076416718836013
Oregon,212849.7,178375.4,4289439,238847.1,OR,2.8308823529411766,3.4411764705882355,556123.8676470588,2299.3823529411766,250.93831746114472,272,West,0.25318163796001714
Pennsylvania,683773.9,570772.0,12804123,788725.2,PA,2.128839590443686,3.22098976109215,279675.0614334471,1680.5819112627987,177.68409670175382,1172,North,0.2763360420080403
Rhode Island,51415.1,45397.1,1061509,64299.9,RI,1.984924623115578,3.14070351758794,305050.040201005,1750.532663316583,191.57336568918558,199,North,0.2939786842592291
South Carolina,208480.5,195958.7,5277830,250573.6,SC,2.6483516483516483,3.4835164835164836,378263.16483516485,2039.934065934066,185.19957925537443,91,South,0.21795951369178554
South Dakota,46682.7,37337.8,896581,52920.7,SD,2.4,3.44,362883.8,2031.12,181.8166470216451,25,MidWest,0.29445755630594445
Tennessee,316325.3,258252.3,6944260,351546.3,TN,2.581267217630854,3.260330578512397,427594.91046831955,2130.555096418733,203.60762960404747,726,South,0.26538182879467087
Texas,1734321.1,1164466.4,29730311,1618635.1,TX,2.6220322886989553,3.4223646723646723,277502.47768281103,2170.507359924027,128.98023378310162,4212,South,0.2805874529719516
Utah,171370.1,121445.4,3310774,169656.3,UT,2.7301587301587302,4.154761904761905,470316.15476190473,2524.0158730158732,200.74267400915113,252,West,0.2841680503464946
Virginia,473817.5,367302.7,8603985,532256.2,VA,2.5164473684210527,3.231907894736842,291610.55592105264,1806.2705592105262,161.60183096790672,1216,South,0.30991372200079575
Washington,532861.9,354219.1,7796941,516441.1,WA,2.486988847583643,3.5985130111524164,485569.8252788104,2240.4832713754645,230.2313764615407,269,West,0.3141152011332948
Wisconsin,291715.8,238923.0,5852490,324252.0,WI,2.31875,3.253125,297997.15,1906.921875,161.81543737160885,320,MidWest,0.2631564338847563
