Bedrooms,Bathrooms,Size,Type,Price,City,State,perSqFt,Region
5.0,2.0,1956.0,Multifamily,339900.0,Anchorage,AK,173.77300613496934,West
4.0,4.0,4418.0,House,990000.0,Anchorage,AK,224.0832956088728,West
2.0,1.0,846.0,Condo,99500.0,Anchorage,AK,117.61229314420804,West
2.0,1.0,780.0,Condo,118900.0,Eagle River,AK,152.43589743589743,West
4.0,3.0,2657.0,House,689900.0,Anchorage,AK,259.6537448249906,West
3.0,3.0,2604.0,House,449900.0,Eagle River,AK,172.7726574500768,West
2.0,2.0,737.0,Condo,145000.0,Anchorage,AK,196.74355495251018,West
4.0,5.0,4200.0,House,859000.0,Anchorage,AK,204.52380952380952,West
17.0,9.0,7360.0,Multifamily,599000.0,Anchorage,AK,81.38586956521739,West
2.0,1.0,665.0,Condo,118000.0,Anchorage,AK,177.4436090225564,West
2.0,1.0,988.0,House,284900.0,Anchorage,AK,288.36032388663966,West
2.0,2.0,917.0,Condo,162000.0,Anchorage,AK,176.6630316248637,West
10.0,4.0,3560.0,Multifamily,340000.0,Anchorage,AK,95.50561797752809,West
6.0,4.0,3072.0,Multifamily,419900.0,Anchorage,AK,136.68619791666666,West
3.0,4.0,3249.0,House,695000.0,Anchorage,AK,213.911972914743,West
2.0,2.0,1028.0,Condo,205000.0,Anchorage,AK,199.41634241245137,West
3.0,3.0,2113.0,House,339999.0,Anchorage,AK,160.9081874112636,West
2.0,1.0,900.0,Condo,145000.0,Anchorage,AK,161.11111111111111,West
22.0,12.0,8640.0,Multifamily,850000.0,Anchorage,AK,98.37962962962963,West
3.0,2.0,1130.0,Condo,189000.0,Anchorage,AK,167.2566371681416,West
4.0,2.0,1600.0,Multifamily,329000.0,Anchorage,AK,205.625,West
3.0,2.0,1065.0,Condo,129000.0,Anchorage,AK,121.12676056338029,West
3.0,3.0,2349.0,House,565000.0,Anchorage,AK,240.52788420604512,West
3.0,2.0,1814.0,House,425000.0,Anchorage,AK,234.2888643880926,West
9.0,4.0,4048.0,Multifamily,540000.0,Anchorage,AK,133.399209486166,West
2.0,1.0,868.0,Condo,129500.0,Anchorage,AK,149.19354838709677,West
4.0,4.0,1680.0,Multifamily,300000.0,Anchorage,AK,178.57142857142858,West
3.0,2.0,2030.0,House,175000.0,Anchorage,AK,86.20689655172414,West
3.0,3.0,1956.0,House,542500.0,Anchorage,AK,277.3517382413088,West
2.0,2.0,1200.0,Condo,129900.0,Anchorage,AK,108.25,West
3.0,3.0,2303.0,Condo,387000.0,Anchorage,AK,168.04168475901,West
3.0,2.0,1144.0,House,300000.0,Anchorage,AK,262.23776223776224,West
2.0,2.0,1008.0,Multifamily,215000.0,Anchorage,AK,213.29365079365078,West
3.0,2.0,1635.0,Multifamily,175000.0,Anchorage,AK,107.03363914373088,West
2.0,2.0,1035.0,Condo,175000.0,Anchorage,AK,169.08212560386474,West
2.0,2.0,972.0,Condo,175000.0,Anchorage,AK,180.0411522633745,West
5.0,3.0,2408.0,House,565000.0,Anchorage,AK,234.6345514950166,West
3.0,3.0,1772.0,Townhouse,300000.0,Anchorage,AK,169.3002257336343,West
3.0,2.0,1232.0,Condo,175000.0,Anchorage,AK,142.04545454545453,West
3.0,1.0,1128.0,House,200000.0,Anchorage,AK,177.3049645390071,West
3.0,1.0,1090.0,Townhouse,169900.0,Anchorage,AK,155.87155963302752,West
4.0,2.0,1832.0,House,319000.0,Eagle River,AK,174.12663755458516,West
11.0,4.0,4536.0,Multifamily,539000.0,Anchorage,AK,118.82716049382717,West
3.0,3.0,1732.0,Multifamily,244900.0,Anchorage,AK,141.3972286374134,West
6.0,4.0,2496.0,Multifamily,435000.0,Anchorage,AK,174.27884615384616,West
2.0,2.0,1222.0,Condo,175000.0,Anchorage,AK,143.20785597381342,West
2.0,1.0,868.0,Condo,129000.0,Anchorage,AK,148.61751152073734,West
3.0,2.0,1400.0,House,318000.0,Eagle River,AK,227.14285714285714,West
8.0,4.0,3544.0,Multifamily,385000.0,Anchorage,AK,108.63431151241535,West
3.0,3.0,1902.0,Condo,390000.0,Anchorage,AK,205.04731861198738,West
2.0,1.0,859.0,Condo,79000.0,Anchorage,AK,91.9674039580908,West
4.0,2.0,1781.0,Multifamily,319900.0,Anchorage,AK,179.61819202695116,West
3.0,2.0,1149.0,Condo,200000.0,Anchorage,AK,174.06440382941688,West
16.0,8.0,5550.0,Multifamily,775000.0,Anchorage,AK,139.63963963963963,West
2.0,2.0,789.0,Condo,129900.0,Anchorage,AK,164.63878326996198,West
9.0,6.0,4200.0,Multifamily,750000.0,Anchorage,AK,178.57142857142858,West
5.0,2.0,2358.0,Multifamily,305000.0,Anchorage,AK,129.34690415606445,West
3.0,1.0,1402.0,House,131000.0,Anchorage,AK,93.43794579172611,West
4.0,2.0,1513.0,Condo,310000.0,Eagle River,AK,204.89094514210177,West
2.0,2.0,907.0,Condo,172500.0,Anchorage,AK,190.18743109151046,West
2.0,2.0,748.0,Condo,172500.0,Anchorage,AK,230.6149732620321,West
2.0,1.0,623.0,Condo,93000.0,Anchorage,AK,149.2776886035313,West
6.0,5.0,5065.0,House,750000.0,Eagle River,AK,148.07502467917078,West
2.0,2.0,1024.0,Condo,173000.0,Anchorage,AK,168.9453125,West
8.0,4.0,2992.0,Multifamily,389000.0,Anchorage,AK,130.0133689839572,West
3.0,1.0,1002.0,House,240000.0,Anchorage,AK,239.52095808383234,West
16.0,8.0,7552.0,Multifamily,750000.0,Anchorage,AK,99.3114406779661,West
3.0,2.0,1148.0,Condo,239900.0,Anchorage,AK,208.97212543554008,West
3.0,3.0,3228.0,House,564900.0,Eagle River,AK,175.0,West
2.0,1.0,810.0,Condo,132000.0,Anchorage,AK,162.96296296296296,West
8.0,4.0,3816.0,Multifamily,560000.0,Anchorage,AK,146.75052410901466,West
4.0,2.0,2118.0,Multifamily,300000.0,Anchorage,AK,141.643059490085,West
9.0,4.0,3744.0,Multifamily,429000.0,Anchorage,AK,114.58333333333333,West
9.0,4.0,3744.0,Multifamily,304000.0,Anchorage,AK,81.19658119658119,West
2.0,2.0,1089.0,Condo,129900.0,Anchorage,AK,119.28374655647383,West
2.0,1.0,859.0,Condo,78000.0,Anchorage,AK,90.80325960419091,West
